::1||1490378468|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378468|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378474|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378474|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378481|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378481|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378485|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378485|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378514|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378514|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378518|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378518|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378578|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378578|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
::1||1490378580|Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:48.0) Gecko/20100101 Firefox/48.0||http://localhost/party_Shakers/Party_Shakers/empSite/empSite.php
